ID,Start time,Completion time,What is your role in your organization? (Select the best answer),Which industry best describes your organization's primary sector? (Select the best answer),How long have you been working with AI technologies? (Select the best answer),Do you believe there is a need to enhance your organization's responsible AI framework to address the complexities of agentic AI? (Select the best answer),Which dimensions of your responsible AI framework do you perceive as most likely needing enhancement for agentic AI? (Select all that apply),Which of the following implementation techniques and technologies has your organization adopted to ensure agentic AI operates responsibly? (Select all that apply),How has the implementation of agentic AI influenced your organization's culture and practices? (Select all that apply),"In your view, what is the single most pressing challenge that organizations must address when developing or deploying agentic AI systems?","What do you think are the future trends in responsible AI, especially concerning agentic AI?",Our organization has a clear understanding of the differences between agentic AI and generative AI.,Our organization has effectively adapted its responsible AI framework to include agentic AI.,Our organization has a clear understanding of how agentic AI impacts our responsible AI policies and governance.,Implementing agentic AI has positively influenced our organization's ROI.,Calculating ROI for agentic AI projects remains a challenge for our organization.,Our organization sees a strong connection between responsible AI practices and financial performance.,Our organization is well-prepared to adapt to future advancements in responsible AI.
11,2-14-25 14:43:41,2-14-25 14:49:38,"Business & Strategy Leaders (Chief AI Officers, Innovation Leaders, CEOs) ","Retail & E-commerce (e.g., consumer goods, online marketplaces) ",More than 10 years,Yes,Accountability Mechanisms;Privacy and Data Protection Protocols;,"Human Oversight and Interaction (Human-in-the-Loop Systems, User Feedback Mechanisms, …);Data Protection and Privacy (Data Protection Technologies, Privacy and Data Protection Protocols, …);Integrated Development Practices (Cross-Functional Development Teams, Stakeholder Engagement Processes, Using New Design Patterns, …);",No significant impact;,"Slippery slope argument, but in many cases it's automating the things we most need people involved with.",Generally bearish as adoption of genAI already informal - intelligent automation already niche.,Disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Strongly disagree,Neutral
12,2-14-25 14:52:20,2-14-25 14:59:40,Product Managers & Product Owners (AI-driven products) ,"Technology (e.g., AI/ML development, software, IT services) ",3-5 years,Yes,Ethical Guidelines;Stakeholder Engagement Processes;,"Monitoring and Evaluation (Continuous Monitoring Tools, Regular Ethical Audits, Robust Model Validation Processes, ...);Transparency and Explainability (Explainability and Transparency Tools, Transparency Reports, ...);Human Oversight and Interaction (Human-in-the-Loop Systems, User Feedback Mechanisms, …);Data Protection and Privacy (Data Protection Technologies, Privacy and Data Protection Protocols, …);Integrated Development Practices (Cross-Functional Development Teams, Stakeholder Engagement Processes, Using New Design Patterns, …);",Enhanced collaboration across departments;Greater emphasis on transparency and accountability;Improved training and development programs;,"Managing risk. I work for a pharma client. In a tightly regulated industry, how can accountability from the actions of Agentic AI be managed? There could be ways of using AI systems to evaluate and flag AI actions. However, current regulations may not have evolved to adapt to such a landscape. ",Very hard to predict. ,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Disagree
13,2-15-25 7:46:44,2-15-25 7:50:27,"Engineering & IT Leadership (CTOs, CIOs, VPs of AI/Tech) ","Finance & Banking (e.g., fintech, investment, insurance) ",1-3 years,Yes,Ethical Guidelines;Transparency Measures;Accountability Mechanisms;Bias Mitigation Strategies;Safety and Security Standards;Stakeholder Engagement Processes;,"Data Protection and Privacy (Data Protection Technologies, Privacy and Data Protection Protocols, …);Human Oversight and Interaction (Human-in-the-Loop Systems, User Feedback Mechanisms, …);Monitoring and Evaluation (Continuous Monitoring Tools, Regular Ethical Audits, Robust Model Validation Processes, ...);",No significant impact;Adoption of new technologies and tools;Improved training and development programs;,,,Disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Disagree,Disagree
14,2-15-25 19:45:03,2-15-25 19:49:14,"Business & Strategy Leaders (Chief AI Officers, Innovation Leaders, CEOs) ","Finance & Banking (e.g., fintech, investment, insurance) ",3-5 years,Yes,Transparency Measures;Ethical Guidelines;Bias Mitigation Strategies;Privacy and Data Protection Protocols;Accountability Mechanisms;Safety and Security Standards;Stakeholder Engagement Processes;,"Integrated Development Practices (Cross-Functional Development Teams, Stakeholder Engagement Processes, Using New Design Patterns, …);Transparency and Explainability (Explainability and Transparency Tools, Transparency Reports, ...);Monitoring and Evaluation (Continuous Monitoring Tools, Regular Ethical Audits, Robust Model Validation Processes, ...);",Greater emphasis on transparency and accountability;Enhanced collaboration across departments;,The understanding of AI and uses and removing any myths and fears. ,Transparency and trust between organization and customers. Layering the proper user experience so AI isn’t in a black box. ,Neutral,Disagree,Neutral,Strongly disagree,Strongly Agree,Disagree,Neutral
15,2-16-25 8:24:29,2-16-25 8:58:41,"AI Consultants & Advisors (ethics, strategy, policy) ","Technology (e.g., AI/ML development, software, IT services) ",5-10 years,Yes,Ethical Guidelines;Transparency Measures;Accountability Mechanisms;Privacy and Data Protection Protocols;Safety and Security Standards;Eco-responsibility (environmental impacts);,"Monitoring and Evaluation (Continuous Monitoring Tools, Regular Ethical Audits, Robust Model Validation Processes, ...);Transparency and Explainability (Explainability and Transparency Tools, Transparency Reports, ...);Human Oversight and Interaction (Human-in-the-Loop Systems, User Feedback Mechanisms, …);Skills Development and Learning (Technical AI Skills Training, Responsible AI Skills Training, Data Governance and Management Skills Training, Ethics Training Programs, …);Ethical Decision-Making (Ethical Decision-Making Frameworks, Morality Code Integration, …);Bias and Fairness (Bias Detection and Mitigation Algorithms, Diverse Data Sourcing, …);Data Protection and Privacy (Data Protection Technologies, Privacy and Data Protection Protocols, …);Integrated Development Practices (Cross-Functional Development Teams, Stakeholder Engagement Processes, Using New Design Patterns, …);",Adoption of new technologies and tools;Changes in decision-making processes;,"Rigorous testing and validation: the autonomous nature of agentic AI introduces new challenges regarding testing, behaviors of agent interactions, and explainability","Explainable AI for agentic AI, in order to enhanced transparency, explainability and auditing of autonomous AI agents",Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Disagree,Agree
16,2-17-25 8:19:48,2-17-25 8:24:40,"AI Consultants & Advisors (ethics, strategy, policy) ","Technology (e.g., AI/ML development, software, IT services) ",More than 10 years,No,Privacy and Data Protection Protocols;,"Data Protection and Privacy (Data Protection Technologies, Privacy and Data Protection Protocols, …);",Adoption of new technologies and tools;,Keeping proprietary information secure.,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly Agree
17,2-18-25 15:56:28,2-18-25 16:02:08,"Business & Strategy Leaders (Chief AI Officers, Innovation Leaders, CEOs) ",Cyber Security,Less than 1 year,Yes,Transparency Measures;Safety and Security Standards;Privacy and Data Protection Protocols;,"Data Protection and Privacy (Data Protection Technologies, Privacy and Data Protection Protocols, …);Bias and Fairness (Bias Detection and Mitigation Algorithms, Diverse Data Sourcing, …);",Greater emphasis on transparency and accountability;Changes in decision-making processes;,Establishing accountability mechanisms for AI actions,"These Agnentic AI solutions are going to increasingly leverage proprietary datasets  to offer highly personalized solutions. This integration will enhance the relevance and accuracy of AI-driven interactions, turning data into actionable insights.",Neutral,Neutral,Agree,Disagree,Strongly Agree,Agree,Disagree
18,2-19-25 18:01:18,2-19-25 18:04:07,"AI Consultants & Advisors (ethics, strategy, policy) ","Energy & Utilities (e.g., oil & gas, renewables, power distribution) ",5-10 years,No,Ethical Guidelines;Transparency Measures;Privacy and Data Protection Protocols;Safety and Security Standards;Stakeholder Engagement Processes;,"Monitoring and Evaluation (Continuous Monitoring Tools, Regular Ethical Audits, Robust Model Validation Processes, ...);Transparency and Explainability (Explainability and Transparency Tools, Transparency Reports, ...);Human Oversight and Interaction (Human-in-the-Loop Systems, User Feedback Mechanisms, …);Skills Development and Learning (Technical AI Skills Training, Responsible AI Skills Training, Data Governance and Management Skills Training, Ethics Training Programs, …);Data Protection and Privacy (Data Protection Technologies, Privacy and Data Protection Protocols, …);Integrated Development Practices (Cross-Functional Development Teams, Stakeholder Engagement Processes, Using New Design Patterns, …);",Enhanced collaboration across departments;Greater emphasis on transparency and accountability;Adoption of new technologies and tools;Changes in decision-making processes;Increased focus on ethical considerations;,"The most pressing challenge is ensuring reliability and control—balancing autonomy with oversight to prevent unintended actions, biases, and security risks while maintaining alignment with business goals and ethical standards.
","Future trends in responsible AI, especially for agentic AI, will focus on robust oversight, ethical alignment, and adaptability to evolving global AI policies. Organizations must navigate regulatory uncertainty, ensure transparency, and develop fail-safes to maintain control over autonomous systems. How do you maintain safe, sustainable, scale?",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
19,2-20-25 8:57:40,2-20-25 9:01:46,Consultant ,Media & Entertainment ,1-3 years,Yes,Ethical Guidelines;Accountability Mechanisms;Bias Mitigation Strategies;Privacy and Data Protection Protocols;,"Monitoring and Evaluation (Continuous Monitoring Tools, Regular Ethical Audits, Robust Model Validation Processes, ...);Human Oversight and Interaction (Human-in-the-Loop Systems, User Feedback Mechanisms, …);Ethical Decision-Making (Ethical Decision-Making Frameworks, Morality Code Integration, …);Bias and Fairness (Bias Detection and Mitigation Algorithms, Diverse Data Sourcing, …);Data Protection and Privacy (Data Protection Technologies, Privacy and Data Protection Protocols, …);",Enhanced collaboration across departments;Adoption of new technologies and tools;Changes in decision-making processes;,Good data in; good responses out,"transparency, monitoring, industry standards and protocols certification ",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree
20,2-20-25 9:30:22,2-20-25 12:07:41,"AI Consultants & Advisors (ethics, strategy, policy) ","Technology (e.g., AI/ML development, software, IT services) ",3-5 years,Yes,Accountability Mechanisms;Privacy and Data Protection Protocols;Bias Mitigation Strategies;Transparency Measures;Ethical Guidelines;Safety and Security Standards;Stakeholder Engagement Processes;,"Monitoring and Evaluation (Continuous Monitoring Tools, Regular Ethical Audits, Robust Model Validation Processes, ...);Skills Development and Learning (Technical AI Skills Training, Responsible AI Skills Training, Data Governance and Management Skills Training, Ethics Training Programs, …);Bias and Fairness (Bias Detection and Mitigation Algorithms, Diverse Data Sourcing, …);Data Protection and Privacy (Data Protection Technologies, Privacy and Data Protection Protocols, …);",Enhanced collaboration across departments;Greater emphasis on transparency and accountability;Adoption of new technologies and tools;,Transparency in decision-making and accountability ,Autonomous AI ?,Agree,Neutral,Disagree,Neutral,Strongly Agree,Neutral,Neutral
21,2-21-25 10:35:53,2-21-25 10:46:03,"Business & Strategy Leaders (Chief AI Officers, Innovation Leaders, CEOs) ",Entertainment,3-5 years,Yes,Ethical Guidelines;Transparency Measures;Accountability Mechanisms;Safety and Security Standards;Bias Mitigation Strategies;,"Monitoring and Evaluation (Continuous Monitoring Tools, Regular Ethical Audits, Robust Model Validation Processes, ...);Transparency and Explainability (Explainability and Transparency Tools, Transparency Reports, ...);Human Oversight and Interaction (Human-in-the-Loop Systems, User Feedback Mechanisms, …);Bias and Fairness (Bias Detection and Mitigation Algorithms, Diverse Data Sourcing, …);",Increased focus on ethical considerations;Greater emphasis on transparency and accountability;Enhanced collaboration across departments;,"The biggest challenge is making sure these AI systems are clear about how they make decisions and that someone can be held responsible if something goes wrong. Because agentic AI can make choices on its own, it’s sometimes hard to see exactly how it reaches those choices. That makes it tough to fix mistakes or stop unfair behavior. Being open and responsible about what AI does is really important to keep people’s trust. The way Stanford Storm is approaching it is smart.","Looking to the future, we’ll need rules and guidelines that can quickly adapt as AI technology changes. We’ll also see more ways for people to check on AI, like special tools that show how it decides things.",Agree,Agree,Neutral,Agree,Disagree,Strongly Agree,Agree
22,2-21-25 14:28:29,2-21-25 14:58:52,Product Managers & Product Owners (AI-driven products) ,"Technology (e.g., AI/ML development, software, IT services) ",1-3 years,No,Transparency Measures;Privacy and Data Protection Protocols;,"Monitoring and Evaluation (Continuous Monitoring Tools, Regular Ethical Audits, Robust Model Validation Processes, ...);Skills Development and Learning (Technical AI Skills Training, Responsible AI Skills Training, Data Governance and Management Skills Training, Ethics Training Programs, …);Human Oversight and Interaction (Human-in-the-Loop Systems, User Feedback Mechanisms, …);Ethical Decision-Making (Ethical Decision-Making Frameworks, Morality Code Integration, …);Data Protection and Privacy (Data Protection Technologies, Privacy and Data Protection Protocols, …);",Enhanced collaboration across departments;Improved training and development programs;Adoption of new technologies and tools;Changes in decision-making processes;,"Transparency and Explainability - AI agents often operate as black boxes, making decisions that are difficult to interpret. We need to develop ways to make AI reasoning transparent and understandable for users and regulators so that it aligns with intended deployment purposes. ","Rather than replacing humans, agentic AI will be designed to augment human decision-making. Expect an increase in AI co-pilots and decision-support systems that enhance productivity while keeping humans in control. Organizations will prioritize mechanisms to control and intervene in AI behavior. This includes kill switches, sandboxing techniques, and red-teaming AI agents to prevent unintended consequences.",Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Strongly Agree
23,2-22-25 14:40:17,2-22-25 14:47:11,"Engineering & IT Leadership (CTOs, CIOs, VPs of AI/Tech) ","Finance & Banking (e.g., fintech, investment, insurance) ",1-3 years,Yes,Transparency Measures;Accountability Mechanisms;Ethical Guidelines;Safety and Security Standards;Bias Mitigation Strategies;Privacy and Data Protection Protocols;,"Transparency and Explainability (Explainability and Transparency Tools, Transparency Reports, ...);Skills Development and Learning (Technical AI Skills Training, Responsible AI Skills Training, Data Governance and Management Skills Training, Ethics Training Programs, …);",We are using Agentic AI yet;,Skill development and identification of right use cases ,Anything that is illegal and unethical for humans should be same for Agentic AI and their creators,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Neutral
24,2-24-25 12:06:54,2-24-25 12:11:21,"AI Consultants & Advisors (ethics, strategy, policy) ","Academia & Research (e.g., universities, think tanks, research institutions) ",3-5 years,Yes,Ethical Guidelines;Accountability Mechanisms;Bias Mitigation Strategies;Privacy and Data Protection Protocols;Stakeholder Engagement Processes;,"Data Protection and Privacy (Data Protection Technologies, Privacy and Data Protection Protocols, …);",Adoption of new technologies and tools;,"Information asymmetry among leaders in the organization. Before they can lead change they need to understand the value proposition of AI agents, or even the basics of AI.",Coordinating agents that provide feedback and alignment for agents so they can avoid drift and improve their performance. ,Disagree,Disagree,Disagree,Neutral,Agree,Neutral,Disagree
25,2-26-25 21:25:09,2-26-25 21:29:21,AI Scientist,"Technology (e.g., AI/ML development, software, IT services) ",More than 10 years,Yes,Transparency Measures;Accountability Mechanisms;Bias Mitigation Strategies;Privacy and Data Protection Protocols;Safety and Security Standards;,"Monitoring and Evaluation (Continuous Monitoring Tools, Regular Ethical Audits, Robust Model Validation Processes, ...);Transparency and Explainability (Explainability and Transparency Tools, Transparency Reports, ...);Human Oversight and Interaction (Human-in-the-Loop Systems, User Feedback Mechanisms, …);Bias and Fairness (Bias Detection and Mitigation Algorithms, Diverse Data Sourcing, …);Data Protection and Privacy (Data Protection Technologies, Privacy and Data Protection Protocols, …);",Increased focus on ethical considerations;Greater emphasis on transparency and accountability;,,,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Agree
26,2-27-25 5:17:18,2-27-25 5:21:32,"AI Consultants & Advisors (ethics, strategy, policy) ","Technology (e.g., AI/ML development, software, IT services) ",3-5 years,Yes,Transparency Measures;Bias Mitigation Strategies;Safety and Security Standards;Ethical Guidelines;,"Monitoring and Evaluation (Continuous Monitoring Tools, Regular Ethical Audits, Robust Model Validation Processes, ...);Transparency and Explainability (Explainability and Transparency Tools, Transparency Reports, ...);Human Oversight and Interaction (Human-in-the-Loop Systems, User Feedback Mechanisms, …);Skills Development and Learning (Technical AI Skills Training, Responsible AI Skills Training, Data Governance and Management Skills Training, Ethics Training Programs, …);Ethical Decision-Making (Ethical Decision-Making Frameworks, Morality Code Integration, …);Data Protection and Privacy (Data Protection Technologies, Privacy and Data Protection Protocols, …);Bias and Fairness (Bias Detection and Mitigation Algorithms, Diverse Data Sourcing, …);Integrated Development Practices (Cross-Functional Development Teams, Stakeholder Engagement Processes, Using New Design Patterns, …);",Greater emphasis on transparency and accountability;,Consider human in the loop and decision accuracy of the agent. ,"The Ability to turn them off at will, keeping them up to date",Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree
27,2-12-25 17:04:34,2-12-25 17:11:08,"AI Consultants & Advisors (ethics, strategy, policy) ","Technology (e.g., AI/ML development, software, IT services) ",1-3 years,Not Sure,Bias Mitigation Strategies;Privacy and Data Protection Protocols;Accountability Mechanisms;Transparency Measures;Ethical Guidelines;,I don't have insights into what techiniques my org has implemented.;,I believe that we are too early in the agentic AI phase to judge this;,I think the biggest issue is likely transparency.  People need to understand how/why the agent made the decision it did (this can be as simple as citing references) so they can ensure that it was the right decision.,Scalable functionality based on data type/sensitivity.,Disagree,Neutral,Neutral,Disagree,Strongly Agree,Neutral,Neutral
28,2-13-25 5:43:33,2-13-25 5:52:27,"AI Consultants & Advisors (ethics, strategy, policy) ","Technology (e.g., AI/ML development, software, IT services) ",1-3 years,Yes,Transparency Measures;Privacy and Data Protection Protocols;Accountability Mechanisms;,"Data Protection and Privacy (Data Protection Technologies, Privacy and Data Protection Protocols, …);",Adoption of new technologies and tools;,"Visibility and accountability since agentic systems use chain of thought reasoning and can take actions on users' behalf. Also, organizations must own the fundamental, underlying architecture(s) for agentic AI and not simply jump in with vendor technologies. In this way, companies can be more certain of how they are aligning their technology to drive business strategy while controlling costs.","I think agentic systems will start as glorified chatbots (many are, today, because vendors are putting agentic labels on things that aren't agents) and gradually gain capabilities. But the bigger future trends I believe are these: Agentic fabric architectures, where the fabric describes mechanisms for agents to find and collaborate with each other. Right now we're doing one-off agents and talking about data and integration, which are essential but really table stakes.  Second big trend I think is that we will evolve communication frameworks for agents to discover and communicate with each other. Think of it as an extension of the agentic fabric architecture. This will bring global scale to agentic AI and more monetization opportunities as companies, even individuals, will have agents competing in a fabric-based marketplace, providing various services.",Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly Agree,Disagree
